Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/cart?sessionId=046ad544-8590-11f1-9017-a1a91599fee5,11,0,290,360.65035590912555,249.78496599942446,601.5755979969981,1822.5454545454545,0.006511439498455464,0.0,290,330,540,540,560,600,600,600,600,600,600
GET,/api/cart?sessionId=046ad760-8590-11f1-9017-a1a91599fee5,9,0,280,417.4165346662954,244.7072470022249,1221.332506996987,1823.3333333333333,0.005327541407827198,0.0,280,280,380,540,1200,1200,1200,1200,1200,1200,1200
GET,/api/cart?sessionId=046ad986-8590-11f1-9017-a1a91599fee5,16,0,350,506.0573673754334,273.56608799891546,1568.1449080002494,2479.5,0.00947118472502613,0.0,390,460,510,510,1100,1600,1600,1600,1600,1600,1600
GET,/api/cart?sessionId=046adba2-8590-11f1-9017-a1a91599fee5,12,0,280,479.40172600101505,246.7629710008623,1405.4869530009455,2758.9166666666665,0.0071033885437695975,0.0,280,360,610,610,1100,1400,1400,1400,1400,1400,1400
GET,/api/cart?sessionId=046addd2-8590-11f1-9017-a1a91599fee5,15,0,310,374.7616658001789,248.1679959964822,612.8745079986402,3005.0,0.008879235679711996,0.0,310,400,470,540,590,610,610,610,610,610,610
GET,/api/cart?sessionId=046adfee-8590-11f1-9017-a1a91599fee5,19,0,290,457.28514210733056,253.01388100342592,1421.2316860066494,1593.4736842105262,0.011247031860968528,0.0,290,420,510,590,1200,1400,1400,1400,1400,1400,1400
GET,/api/cart?sessionId=046ae20a-8590-11f1-9017-a1a91599fee5,17,0,360,513.2884000002591,256.9168269983493,1234.9278860056074,2255.3529411764707,0.010063133770340262,0.0,360,530,560,570,1200,1200,1200,1200,1200,1200,1200
GET,/api/cart?sessionId=046ae426-8590-11f1-9017-a1a91599fee5,10,0,420,550.4658744997869,257.32669200078817,1324.6849729985115,2497.2,0.005919490453141331,0.0,470,550,790,790,1300,1300,1300,1300,1300,1300,1300
GET,/api/cart?sessionId=046ae642-8590-11f1-9017-a1a91599fee5,17,0,430,581.4883927052826,249.9819069998921,1475.0035059987567,1907.3529411764705,0.010063133770340262,0.0,430,570,660,750,1400,1500,1500,1500,1500,1500,1500
GET,/api/cart?sessionId=046ae87c-8590-11f1-9017-a1a91599fee5,13,0,340,433.9668523070241,253.59165400004713,846.764894995431,1539.4615384615386,0.00769533758908373,0.0,340,500,520,670,710,850,850,850,850,850,850
GET,/api/cart?sessionId=046aeaa2-8590-11f1-9017-a1a91599fee5,13,0,290,382.68240807687664,258.34835799469147,1255.2799050026806,1988.4615384615386,0.00769533758908373,0.0,290,300,330,410,430,1300,1300,1300,1300,1300,1300
GET,/api/cart?sessionId=046aed04-8590-11f1-9017-a1a91599fee5,14,0,310,427.7867198574573,238.66470200300682,1465.0991259986768,273.64285714285717,0.008287286634397864,0.0,320,400,440,470,660,1500,1500,1500,1500,1500,1500
GET,/api/cart?sessionId=046aef34-8590-11f1-9017-a1a91599fee5,10,0,340,468.4997903983458,251.53639399650274,1324.0413530002115,3451.0,0.005919490453141331,0.0,400,420,450,660,1300,1300,1300,1300,1300,1300,1300
GET,/api/cart?sessionId=046af164-8590-11f1-9017-a1a91599fee5,14,0,300,519.0390839998145,250.4157680014032,1369.732484999986,2819.5,0.008287286634397864,0.0,440,660,710,830,870,1400,1400,1400,1400,1400,1400
GET,/api/cart?sessionId=046af394-8590-11f1-9017-a1a91599fee5,14,0,370,483.43634842863787,258.89201999962097,1381.982118000451,1876.7857142857142,0.008287286634397864,0.0,390,410,630,640,780,1400,1400,1400,1400,1400,1400
GET,/api/cart?sessionId=046af5c4-8590-11f1-9017-a1a91599fee5,14,0,320,413.0453330716201,251.15484599518823,1293.1981079964316,2918.5714285714284,0.008287286634397864,0.0,320,430,450,460,510,1300,1300,1300,1300,1300,1300
GET,/api/cart?sessionId=046b000a-8590-11f1-9017-a1a91599fee5,15,0,360,436.68970353222295,253.38485999964178,1290.4417519966955,2597.5333333333333,0.008879235679711996,0.0,360,470,510,560,570,1300,1300,1300,1300,1300,1300
GET,/api/cart?sessionId=046b029e-8590-11f1-9017-a1a91599fee5,13,0,320,493.1902677697228,249.02092300180811,1414.3590099993162,2124.0,0.00769533758908373,0.0,320,380,450,510,1400,1400,1400,1400,1400,1400,1400
GET,/api/cart?sessionId=046b050a-8590-11f1-9017-a1a91599fee5,9,0,290,420.04157766900283,263.8753630017163,1242.419376001635,2948.4444444444443,0.005327541407827198,0.0,290,350,350,450,1200,1200,1200,1200,1200,1200,1200
GET,/api/cart?sessionId=046b079e-8590-11f1-9017-a1a91599fee5,13,0,310,376.01295253653706,254.12777100427775,794.9074469943298,1656.6923076923076,0.00769533758908373,0.0,310,440,440,440,450,790,790,790,790,790,790
GET,/api/cart?sessionId=046b09f6-8590-11f1-9017-a1a91599fee5,13,0,300,392.7986437707799,259.60826300433837,773.9159310003743,3072.076923076923,0.00769533758908373,0.0,300,340,400,640,690,770,770,770,770,770,770
GET,/api/cart?sessionId=046b0c44-8590-11f1-9017-a1a91599fee5,9,0,400,431.64448577913896,269.02019800036214,897.9446129960706,3892.222222222222,0.005327541407827198,0.0,400,430,450,510,900,900,900,900,900,900,900
GET,/api/cart?sessionId=046b0e88-8590-11f1-9017-a1a91599fee5,15,0,320,370.78408606612356,253.70711900177412,718.436892995669,1724.8666666666666,0.008879235679711996,0.0,320,340,440,460,610,720,720,720,720,720,720
GET,/api/cart?sessionId=046b10ae-8590-11f1-9017-a1a91599fee5,10,0,280,312.8339997987496,257.7255869982764,621.8841329973657,3262.4,0.005919490453141331,0.0,280,280,290,310,620,620,620,620,620,620,620
GET,/api/cart?sessionId=046b12de-8590-11f1-9017-a1a91599fee5,13,0,370,519.5197321540595,254.98535000224365,1426.9579480023822,3276.0,0.00769533758908373,0.0,370,470,480,610,1200,1400,1400,1400,1400,1400,1400
GET,/api/cart?sessionId=046b1504-8590-11f1-9017-a1a91599fee5,11,0,300,439.1466029985829,248.50601499929326,1543.9679199989769,3522.181818181818,0.006511439498455464,0.0,300,350,460,460,530,1500,1500,1500,1500,1500,1500
GET,/api/cart?sessionId=046b1716-8590-11f1-9017-a1a91599fee5,15,0,340,431.40914433218614,250.65235500369454,740.5066869978327,2104.4666666666667,0.008879235679711996,0.0,340,510,660,670,730,740,740,740,740,740,740
GET,/api/cart?sessionId=046b1932-8590-11f1-9017-a1a91599fee5,10,0,280,398.8974768995831,253.8272550009424,1023.9047419963754,3119.4,0.005919490453141331,0.0,290,340,390,630,1000,1000,1000,1000,1000,1000,1000
GET,/api/cart?sessionId=046b1b4e-8590-11f1-9017-a1a91599fee5,5,0,320,367.5239704010892,277.85136600141414,539.5181179992505,639.0,0.0029597452265706656,0.0,320,420,420,540,540,540,540,540,540,540,540
GET,/api/cart?sessionId=046b1de2-8590-11f1-9017-a1a91599fee5,20,0,430,516.88545209945,250.81439199857414,1224.9000080046244,2738.95,0.011838980906282662,0.0,460,560,620,780,940,1200,1200,1200,1200,1200,1200
GET,/api/cart?sessionId=046b2008-8590-11f1-9017-a1a91599fee5,10,0,270,306.4702515992394,257.42543100204784,516.947395997704,3825.3,0.005919490453141331,0.0,290,300,310,330,520,520,520,520,520,520,520
GET,/api/cart?sessionId=046b2364-8590-11f1-9017-a1a91599fee5,19,0,310,490.45745484296566,254.84541200421518,1909.6286600033636,2568.4210526315787,0.011247031860968528,0.0,310,430,460,570,1200,1900,1900,1900,1900,1900,1900
GET,/api/cart?sessionId=046b263e-8590-11f1-9017-a1a91599fee5,20,0,320,391.8124503499712,243.9610210058163,1243.4063130058348,1444.15,0.011838980906282662,0.0,330,410,430,430,560,1200,1200,1200,1200,1200,1200
GET,/api/cart?sessionId=046b285a-8590-11f1-9017-a1a91599fee5,17,0,270,423.2124264111489,244.80715700337896,1464.6027369963122,1161.2941176470588,0.010063133770340262,0.0,270,280,290,390,1300,1500,1500,1500,1500,1500,1500
GET,/api/cart?sessionId=046b2abc-8590-11f1-9017-a1a91599fee5,14,0,340,386.0984572851781,249.28921700484352,649.3290509970393,3041.714285714286,0.008287286634397864,0.0,360,430,490,490,540,650,650,650,650,650,650
GET,/api/cart?sessionId=046b2cd8-8590-11f1-9017-a1a91599fee5,10,0,330,494.5224598006462,260.56062799762003,1146.050400006061,3021.3,0.005919490453141331,0.0,460,520,610,700,1100,1100,1100,1100,1100,1100,1100
GET,/api/cart?sessionId=046b2ef4-8590-11f1-9017-a1a91599fee5,17,0,440,472.56497858753016,252.16769200051203,1478.0701269992278,3368.705882352941,0.010063133770340262,0.0,440,490,490,560,700,1500,1500,1500,1500,1500,1500
GET,/api/cart?sessionId=046b312e-8590-11f1-9017-a1a91599fee5,15,0,370,399.88760440076777,250.21308899886208,623.5456809954485,652.8666666666667,0.008879235679711996,0.0,370,470,510,510,560,620,620,620,620,620,620
GET,/api/cart?sessionId=046b334a-8590-11f1-9017-a1a91599fee5,9,0,320,532.9211884454708,248.06560200522654,1290.1448699994944,2743.3333333333335,0.005327541407827198,0.0,320,350,450,1200,1300,1300,1300,1300,1300,1300,1300
GET,/api/cart?sessionId=046b3570-8590-11f1-9017-a1a91599fee5,11,0,320,551.8549989084767,249.59543099976145,1474.8408129962627,3236.3636363636365,0.006511439498455464,0.0,320,450,650,650,1500,1500,1500,1500,1500,1500,1500
GET,/api/cart?sessionId=046b37b4-8590-11f1-9017-a1a91599fee5,13,0,310,457.07545469262044,247.58904599730158,1390.2274189968011,2287.769230769231,0.00769533758908373,0.0,310,480,530,560,610,1400,1400,1400,1400,1400,1400
GET,/api/cart?sessionId=046b39d0-8590-11f1-9017-a1a91599fee5,10,0,290,334.6188573006657,252.2553369999514,510.7545589999063,2646.1,0.005919490453141331,0.0,340,350,410,420,510,510,510,510,510,510,510
GET,/api/cart?sessionId=046b3bf6-8590-11f1-9017-a1a91599fee5,11,0,410,524.085909726802,255.57535600091796,1234.561522003787,3275.818181818182,0.006511439498455464,0.0,410,620,660,660,930,1200,1200,1200,1200,1200,1200
GET,/api/cart?sessionId=046b3dfe-8590-11f1-9017-a1a91599fee5,11,0,380,570.6169609084926,255.22351999825332,1314.5010209991597,1356.5454545454545,0.006511439498455464,0.0,380,730,830,830,1100,1300,1300,1300,1300,1300,1300
GET,/api/cart?sessionId=05056320-8590-11f1-9017-a1a91599fee5,11,0,340,343.15591672797876,254.43474799976684,493.6999700003071,2167.2727272727275,0.006511439498455464,0.0,340,360,420,420,450,490,490,490,490,490,490
GET,/api/cart?sessionId=050567a8-8590-11f1-9017-a1a91599fee5,6,0,320,349.64139183284715,255.31928899727063,538.0323680001311,2369.8333333333335,0.0035516942718847987,0.0,330,330,390,390,540,540,540,540,540,540,540
GET,/api/cart?sessionId=05056ae6-8590-11f1-9017-a1a91599fee5,12,0,400,491.8518240829144,261.81140699918615,1275.5650039980537,3813.0833333333335,0.0071033885437695975,0.0,420,430,530,530,680,1300,1300,1300,1300,1300,1300
GET,/api/cart?sessionId=05056d98-8590-11f1-9017-a1a91599fee5,10,0,430,401.9064216008701,268.06117100204574,580.101271996682,1673.8,0.005919490453141331,0.0,440,450,450,510,580,580,580,580,580,580,580
GET,/api/cart?sessionId=05057054-8590-11f1-9017-a1a91599fee5,9,0,300,402.3655589998169,260.17590000265045,917.450272005226,2353.4444444444443,0.005327541407827198,0.0,300,370,400,540,920,920,920,920,920,920,920
GET,/api/cart?sessionId=05057306-8590-11f1-9017-a1a91599fee5,15,0,360,542.3931303996748,247.5406829980784,1379.8204979975708,2893.9333333333334,0.008879235679711996,0.0,360,410,720,1200,1200,1400,1400,1400,1400,1400,1400
