Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/cart?sessionId=cc683b42-857a-11f1-80a3-e58355e4aa54,20,16,300,345.490466649062,253.71945499500725,747.3746850009775,21.6,0.02222015109941038,0.017776120879528304,310,340,340,370,650,750,750,750,750,750,750
GET,/api/cart?sessionId=cc683fde-857a-11f1-80a3-e58355e4aa54,21,20,320,504.69643166676786,252.66153099801159,3805.4043340016506,21.142857142857142,0.023331158654380898,0.02222015109941038,320,340,380,430,440,760,3800,3800,3800,3800,3800
GET,/api/cart?sessionId=cc684510-857a-11f1-80a3-e58355e4aa54,15,12,280,330.7893035336747,250.2349909991608,612.3771880011191,21.6,0.016665113324557786,0.013332090659646228,280,310,330,350,590,610,610,610,610,610,610
GET,/api/cart?sessionId=cc684970-857a-11f1-80a3-e58355e4aa54,13,10,300,393.3231650002059,255.6240699996124,832.6830320002045,21.692307692307693,0.014443098214616748,0.01111007554970519,300,370,400,520,700,830,830,830,830,830,830
GET,/api/cart?sessionId=cc684db2-857a-11f1-80a3-e58355e4aa54,9,6,290,328.06130111000834,268.92387800035067,443.00552499771584,22.0,0.009999067994734672,0.006666045329823114,290,340,340,440,440,440,440,440,440,440,440
GET,/api/cart?sessionId=cc685208-857a-11f1-80a3-e58355e4aa54,16,14,300,305.12214081227285,256.18169200606644,372.63183599861804,21.375,0.017776120879528304,0.015554105769587266,310,320,340,340,350,370,370,370,370,370,370
GET,/api/cart?sessionId=cc68564a-857a-11f1-80a3-e58355e4aa54,16,16,320,326.8028913744274,258.74893499712925,469.57378800289007,21.0,0.017776120879528304,0.017776120879528304,330,350,370,370,390,470,470,470,470,470,470
GET,/api/cart?sessionId=cc685b04-857a-11f1-80a3-e58355e4aa54,19,16,280,296.6399756849952,248.84798799757846,382.7972340004635,21.473684210526315,0.02110914354443986,0.017776120879528304,280,310,320,330,380,380,380,380,380,380,380
GET,/api/cart?sessionId=cc685f96-857a-11f1-80a3-e58355e4aa54,10,7,300,367.8478321999137,257.64947599964216,811.5289460038184,21.9,0.01111007554970519,0.007777052884793633,320,340,360,490,810,810,810,810,810,810,810
GET,/api/cart?sessionId=cc68710c-857a-11f1-80a3-e58355e4aa54,17,16,290,315.50138964666985,246.35499299620278,782.7194219935336,21.176470588235293,0.018887128434498822,0.017776120879528304,290,300,310,310,340,780,780,780,780,780,780
GET,/api/cart?sessionId=cc687634-857a-11f1-80a3-e58355e4aa54,16,15,290,303.72641556186863,254.19919199339347,460.2470780009753,21.1875,0.017776120879528304,0.016665113324557786,300,310,340,340,350,460,460,460,460,460,460
GET,/api/cart?sessionId=cc687aee-857a-11f1-80a3-e58355e4aa54,16,16,300,320.9528863135347,252.51585400110343,560.2097130031325,21.0,0.017776120879528304,0.017776120879528304,300,330,350,350,420,560,560,560,560,560,560
GET,/api/cart?sessionId=cc688048-857a-11f1-80a3-e58355e4aa54,10,10,290,343.67253910095314,251.89648200466763,564.6403499995358,21.0,0.01111007554970519,0.01111007554970519,300,340,350,480,560,560,560,560,560,560,560
GET,/api/cart?sessionId=cd009950-857a-11f1-80a3-e58355e4aa54,14,12,300,350.96151607181775,251.29865600320045,701.6639950015815,21.428571428571427,0.015554105769587266,0.013332090659646228,300,350,380,420,520,700,700,700,700,700,700
GET,/api/cart?sessionId=cd00d942-857a-11f1-80a3-e58355e4aa54,8,7,300,306.73658724936104,245.88108799798647,387.8401530018891,21.375,0.008888060439764152,0.007777052884793633,300,320,350,350,390,390,390,390,390,390,390
GET,/api/cart?sessionId=cd00dfaa-857a-11f1-80a3-e58355e4aa54,12,12,300,308.31364733300387,258.942651002144,378.51482199766906,21.0,0.013332090659646228,0.013332090659646228,310,320,340,340,350,380,380,380,380,380,380
GET,/api/cart?sessionId=cd00e4be-857a-11f1-80a3-e58355e4aa54,12,9,280,308.5126239154003,263.92517299973406,421.20921299647307,21.75,0.013332090659646228,0.009999067994734672,290,300,330,330,410,420,420,420,420,420,420
GET,/api/cart?sessionId=cd00e93c-857a-11f1-80a3-e58355e4aa54,11,9,290,317.0679940012633,249.6945870007039,410.4675320049864,21.545454545454547,0.01222108310467571,0.009999067994734672,290,350,350,350,380,410,410,410,410,410,410
GET,/api/cart?sessionId=cd00ed9c-857a-11f1-80a3-e58355e4aa54,16,16,300,313.6795613127106,255.23514499946032,403.93910600687377,21.0,0.017776120879528304,0.017776120879528304,300,310,340,340,380,400,400,400,400,400,400
GET,/api/cart?sessionId=cd00f4b8-857a-11f1-80a3-e58355e4aa54,8,8,290,294.11955600062356,258.9208700010204,401.57402199838543,21.0,0.008888060439764152,0.008888060439764152,290,300,300,300,400,400,400,400,400,400,400
GET,/api/cart?sessionId=cd00fab2-857a-11f1-80a3-e58355e4aa54,18,15,280,298.4934429991376,248.19066299824044,515.015172000858,21.5,0.019998135989469343,0.016665113324557786,280,290,310,310,360,520,520,520,520,520,520
GET,/api/cart?sessionId=cd00ff08-857a-11f1-80a3-e58355e4aa54,16,12,290,333.9284330004375,260.6283360000816,558.8406509996275,21.75,0.017776120879528304,0.013332090659646228,290,310,350,350,510,560,560,560,560,560,560
GET,/api/cart?sessionId=cd0103ae-857a-11f1-80a3-e58355e4aa54,15,11,290,293.28232306579594,248.66216100053862,376.33376600570045,21.8,0.016665113324557786,0.01222108310467571,290,290,300,310,340,380,380,380,380,380,380
GET,/api/cart?sessionId=cd01080e-857a-11f1-80a3-e58355e4aa54,15,12,320,311.2504810662358,258.41567300085444,395.79038599913474,21.6,0.016665113324557786,0.013332090659646228,320,320,330,350,360,400,400,400,400,400,400
GET,/api/cart?sessionId=cd010c78-857a-11f1-80a3-e58355e4aa54,19,18,320,392.6213954213094,256.1211659995024,1454.4802640011767,21.157894736842106,0.02110914354443986,0.019998135989469343,320,350,430,430,470,1500,1500,1500,1500,1500,1500
GET,/api/cart?sessionId=cd0110a6-857a-11f1-80a3-e58355e4aa54,13,11,290,303.09295623066225,254.57296000240603,494.66783899697475,21.46153846153846,0.014443098214616748,0.01222108310467571,290,300,310,310,320,490,490,490,490,490,490
GET,/api/cart?sessionId=cd0114b6-857a-11f1-80a3-e58355e4aa54,16,16,300,325.9029145633576,255.8539430028759,511.0123609993025,21.0,0.017776120879528304,0.017776120879528304,310,320,340,340,490,510,510,510,510,510,510
GET,/api/cart?sessionId=cd011952-857a-11f1-80a3-e58355e4aa54,18,15,290,361.6873853881973,260.73617299698526,1024.3826299993088,21.5,0.019998135989469343,0.016665113324557786,310,330,340,370,520,1000,1000,1000,1000,1000,1000
GET,/api/cart?sessionId=cd011d62-857a-11f1-80a3-e58355e4aa54,14,14,310,716.7918552134195,251.2028429991915,3292.9321120027453,21.0,0.015554105769587266,0.015554105769587266,320,320,330,330,3200,3300,3300,3300,3300,3300,3300
GET,/api/cart?sessionId=cd012172-857a-11f1-80a3-e58355e4aa54,11,11,280,297.8894106371709,253.38850900152465,357.59794600016903,21.0,0.01222108310467571,0.01222108310467571,280,320,330,330,350,360,360,360,360,360,360
GET,/api/cart?sessionId=cd012578-857a-11f1-80a3-e58355e4aa54,14,14,290,310.22126671346734,258.1858510020538,423.98518700065324,21.0,0.015554105769587266,0.015554105769587266,290,330,340,350,360,420,420,420,420,420,420
GET,/api/cart?sessionId=cd01297e-857a-11f1-80a3-e58355e4aa54,13,11,330,367.98714746244235,276.53885100153275,602.4419759996817,21.46153846153846,0.014443098214616748,0.01222108310467571,330,360,390,460,490,600,600,600,600,600,600
GET,/api/cart?sessionId=cd012d98-857a-11f1-80a3-e58355e4aa54,13,13,300,308.84797215269197,245.5784300036612,454.7467630036408,21.0,0.014443098214616748,0.014443098214616748,300,310,320,370,370,450,450,450,450,450,450
GET,/api/cart?sessionId=cd0131f8-857a-11f1-80a3-e58355e4aa54,16,15,310,336.8524841262115,252.60292500024661,537.4388769996585,21.1875,0.017776120879528304,0.016665113324557786,330,350,370,370,450,540,540,540,540,540,540
GET,/api/cart?sessionId=cd013626-857a-11f1-80a3-e58355e4aa54,14,14,270,298.94423099852116,255.77383999916492,410.74791299615754,21.0,0.015554105769587266,0.015554105769587266,280,320,340,340,360,410,410,410,410,410,410
GET,/api/cart?sessionId=cd013a7c-857a-11f1-80a3-e58355e4aa54,22,21,300,338.3116656818443,259.03912400099216,976.0695149961975,21.136363636363637,0.02444216620935142,0.023331158654380898,300,310,320,330,400,490,980,980,980,980,980
GET,/api/cart?sessionId=cd013f04-857a-11f1-80a3-e58355e4aa54,16,9,290,327.83978774887146,254.28653999551898,452.855865994934,22.3125,0.017776120879528304,0.009999067994734672,320,340,360,360,450,450,450,450,450,450,450
GET,/api/cart?sessionId=cd014378-857a-11f1-80a3-e58355e4aa54,15,14,300,352.66413066613796,255.52101000357652,1008.0260399990948,21.2,0.016665113324557786,0.015554105769587266,300,310,340,340,490,1000,1000,1000,1000,1000,1000
GET,/api/cart?sessionId=cd99a85c-857a-11f1-80a3-e58355e4aa54,17,16,300,431.22101294155823,249.6122349984944,2576.9666289997986,21.176470588235293,0.018887128434498822,0.017776120879528304,300,310,320,320,360,2600,2600,2600,2600,2600,2600
GET,/api/cart?sessionId=cd99b0cc-857a-11f1-80a3-e58355e4aa54,12,9,300,395.62303000032745,244.44076199870324,816.8164520029677,21.75,0.013332090659646228,0.009999067994734672,310,310,600,600,640,820,820,820,820,820,820
GET,/api/cart?sessionId=cd99b8c4-857a-11f1-80a3-e58355e4aa54,11,7,260,271.09694218233926,253.07548999990104,306.9961910005077,22.09090909090909,0.01222108310467571,0.007777052884793633,260,270,280,280,290,310,310,310,310,310,310
GET,/api/cart?sessionId=cd99c058-857a-11f1-80a3-e58355e4aa54,11,7,280,330.19941163696456,248.48780100001022,662.7186640034779,22.09090909090909,0.01222108310467571,0.007777052884793633,280,310,320,320,440,660,660,660,660,660,660
GET,/api/cart?sessionId=cd99c8c8-857a-11f1-80a3-e58355e4aa54,11,10,320,331.456680819842,260.9947340024519,452.6994440020644,21.272727272727273,0.01222108310467571,0.01111007554970519,320,370,370,370,380,450,450,450,450,450,450
GET,/api/cart?sessionId=cd99d070-857a-11f1-80a3-e58355e4aa54,16,16,310,349.3416953133419,247.67915299889864,816.0983039997518,21.0,0.017776120879528304,0.017776120879528304,320,320,370,370,530,820,820,820,820,820,820
GET,/api/cart?sessionId=cd99d714-857a-11f1-80a3-e58355e4aa54,12,12,290,307.10874283370987,255.85446100012632,496.4809989978676,21.0,0.013332090659646228,0.013332090659646228,300,300,320,320,350,500,500,500,500,500,500
GET,/api/cart?sessionId=cd99dde0-857a-11f1-80a3-e58355e4aa54,12,11,320,348.6876157512597,264.2000090054353,610.5731159987045,21.25,0.013332090659646228,0.01222108310467571,320,330,380,380,430,610,610,610,610,610,610
GET,/api/cart?sessionId=cd99e52e-857a-11f1-80a3-e58355e4aa54,14,11,300,405.1513777142515,259.74641600623727,1468.383362996974,21.642857142857142,0.015554105769587266,0.01222108310467571,310,320,320,360,590,1500,1500,1500,1500,1500,1500
GET,/api/cart?sessionId=cd99ed1c-857a-11f1-80a3-e58355e4aa54,14,5,280,297.23451071393873,247.35612200311152,360.98118500376586,22.928571428571427,0.015554105769587266,0.005555037774852595,290,310,340,340,340,360,360,360,360,360,360
GET,/api/cart?sessionId=cd99f51e-857a-11f1-80a3-e58355e4aa54,16,16,290,307.0823160624059,249.21596099738963,513.9212579961168,21.0,0.017776120879528304,0.017776120879528304,290,300,330,330,400,510,510,510,510,510,510
GET,/api/cart?sessionId=cd99fe42-857a-11f1-80a3-e58355e4aa54,11,9,280,277.0896771822167,242.27478500688449,338.4985000011511,21.545454545454547,0.01222108310467571,0.009999067994734672,280,290,290,290,300,340,340,340,340,340,340
GET,/api/cart?sessionId=cd9a0716-857a-11f1-80a3-e58355e4aa54,8,8,290,312.2648111266244,261.58462300372776,459.51776100264397,21.0,0.008888060439764152,0.008888060439764152,310,310,330,330,460,460,460,460,460,460,460
GET,/api/cart?sessionId=cd9a0fae-857a-11f1-80a3-e58355e4aa54,13,10,310,299.5438109238211,258.77981100347824,352.6244989989209,21.692307692307693,0.014443098214616748,0.01111007554970519,310,320,320,330,330,350,350,350,350,350,350
GET,/api/cart?sessionId=cd9a185a-857a-11f1-80a3-e58355e4aa54,9,5,290,455.614145332624,259.255585995561,1696.0196780055412,22.333333333333332,0.009999067994734672,0.005555037774852595,290,300,300,430,1700,1700,1700,1700,1700,1700,1700
GET,/api/cart?sessionId=cd9a1e0e-857a-11f1-80a3-e58355e4aa54,20,16,280,297.9420570994989,243.45115599862766,461.531806999119,21.6,0.02222015109941038,0.017776120879528304,280,300,300,310,400,460,460,460,460,460,460
